legacy_path	area	page_name	page_title	purpose_hint	user_type	permission_keys	scope_evidence	tables	forms	actions	statuses	attachments	print_pdf	linked_php	ajax	public_token_candidate	reachability	activity	evidence
G_answerNNN.php	root	G_answerNNN		G answerNNN	authenticated/unknown							no	no		no	review	unresolved	unknown	
G_answerY.php	root	G_answerY	الختم الرسمي	G answerY	authenticated/unknown		branch	companies_groups,g_data,g_requestdelivry,g_sections,g_sectionsub,government_circulars_sections,government_circulars_sections_administrators,html		send		yes	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,G.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
G_mail.php	root	G_mail	الختم الرسمي	G mail	authenticated/unknown		branch	companies_groups,g_data,g_filesmail,g_requestdelivry,g_sections,g_sectionsub,g_view,government_circulars_sections,html,ra_users		create,update,send	2	no	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,G.php,Government_reportss_pdf.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf
G_retrun.php	root	G_retrun	الختم الرسمي	G retrun	authenticated/unknown		branch	companies_groups,g_data,g_requestdelivry,g_sections,g_sectionsub,g_view,government_circulars_sections,html,ra_users		update,send	1,2	yes	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,G.php,Government_reportss_pdf.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
G_retrunmail.php	root	G_retrunmail	الختم الرسمي	G retrunmail	authenticated/unknown		branch	companies_groups,g_data,g_requestdelivry,g_sections,g_sectionsub,g_view,government_circulars_sections,html,ra_users		update,send	2,1	yes	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,G.php,Government_reportss_pdf.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
Government_mas.php	root	Government_mas	success	Government mas	authenticated/unknown							no	no		no	review	unresolved	unknown	
Government_reportsAnswerManger.php	root	Government_reportsAnswerManger	HH-GovernmentـreportsAnswer	Government reportsAnswerManger	authenticated/unknown		branch	g_data,g_files,g_requestdelivry,g_sections,g_sectionsub,g_timestatus,government_circulars_sections,government_circulars_sections_administrators	/Government_reportsAnswerManger.php?id=	create,update,send	7,5	yes	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,sms_class.php,Shortener.class.php,OpensslEncryptDecrypt.php,PHPMailer.php,SMTP.php,Exception.php,GovernmentـreportsAnswer.php,Government_mas.php,Government_reportsAnswerManger.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; file handling/ref
Government_reportss_fliter.php	root	Government_reportss_fliter		Government reportss fliter	authenticated/unknown							no	no		no	review	unresolved	unknown	
GovernmentـreportsAnswer.php	root	GovernmentـreportsAnswer	HH-GovernmentـreportsAnswer	Government reportsAnswer	authenticated/unknown		branch	department_sender_email,g_data,g_files,g_filesmail,g_requestdelivry,g_sections,g_sectionsub,g_timestatus,g_view,government_circulars_sections,government_circulars_sections_administrators	/GovernmentـreportsAnswer.php?id=	create,update,send	2,7,8	yes	yes	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,sms_class.php,Shortener.class.php,OpensslEncryptDecrypt.php,PHPMailer.php,SMTP.php,Exception.php,GovernmentـreportsAnswer.php,Government_mas.php,G_answerNN.php,Government_reportss_pdf.php,G_answerN.php,Government_reportsAnswerManger.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
GovernmentـreportsAnswerback.php	root	GovernmentـreportsAnswerback	HH-GovernmentـreportsAnswer	Government reportsAnswerback	authenticated/unknown		branch	department_sender_email,g_data,g_files,g_filesmail,g_requestdelivry,g_sections,g_sectionsub,g_timestatus,g_view,government_circulars_sections,government_circulars_sections_administrators	/GovernmentـreportsAnswerback.php?id=	create,update,send	2,1,7,8	yes	yes	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,sms_class.php,Shortener.class.php,OpensslEncryptDecrypt.php,PHPMailer.php,SMTP.php,Exception.php,GovernmentـreportsAnswer.php,Government_mas.php,GovernmentـreportsAnswerback.php,G_answerNN.php,Government_reportss_pdf.php,G_answerN.php,Government_reportsAnswerManger.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
Governmentـreportss.php	root	Governmentـreportss	Al Hammadi Hospitals Group	Government reportss	authenticated/unknown		branch	companies_groups,companies_groups_general,department_sender_email,g_data,g_files,g_filesanswer,g_filesmail,g_requestdelivry,g_sections,g_sectionsub,g_timestatus,g_view,government_circulars_sections,government_circulars_sections_administrators	/Governmentـreportss.php,<?php echo $pagename; ?>	create,update,delete,send	6,1,4,5,2,7,8,9,0	yes	yes	header.inc.php,sms_class.php,Shortener.class.php,OpensslEncryptDecrypt.php,PHPMailer.php,SMTP.php,Exception.php,Governmentـreportss.php,G_retrun.php,G_retrunmail.php,GovernmentـreportsAnswerback.php,G_answerNN.php,Government_reportss_pdf.php,G_answerN.php,Government_reportsAnswerManger.php,G.php,G_answerY.php,g_timeline.php,g_pdf.php,g_report.php,G_mail.php,GovernmentـreportsAnswer.php,fliter_reportss.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
MEDICINE_DIAGNOSED_CODE.php	root	MEDICINE_DIAGNOSED_CODE	MEDICINE	MEDICINE DIAGNOSED CODE	authenticated/unknown			medicine_diagnosed_code	<?php echo $pagename; ?>			no	no	header.inc.php,MEDICINE_DIAGNOSED_CODE.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax
SL.php	root	SL		SL	authenticated/unknown			short_urls,url				no	no	hr_session.php,config.php,functions.php,form_token.php,common.php,SL.php,Shortener.class.php	yes	review	outbound-linked	unknown	ajax
absence_notification_service.php	root	absence_notification_service	خدمة إشعار تغيب عن العمل	absence notification service	authenticated/unknown		branch	absence_notification_service,absence_notification_service_send_to,absence_notification_service_types,functin,if,memo,memo_attachments,ra_users,sms_sender_name	/complaints.php,<?php echo hh_h($pagename); ?>	create,update,delete,send,reply	2,4	yes	yes	header.inc.php,sms_class.php,Shortener.class.php,absence_notification_service_v.php,absence_notification_service_notice.php,absence_notification_service.php,sendsoundajax.php,complaints.php,absence_notification_service_form.php,absence_notification_service_pdf.php,footer.inc.php	yes	review	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
absence_notification_service_action_done.php	root	absence_notification_service_action_done		absence notification service action done	authenticated/unknown		branch	absence_notification_service,absence_notification_service_action_type,absence_notification_service_death_leave_categories,absence_notification_service_send_to,absence_notification_service_types,branches,companies_groups,html,ra_users		send		yes	yes	hr_session.php,autoload.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,index.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
absence_notification_service_form.php	root	absence_notification_service_form		absence notification service form	authenticated/unknown			absence_notification_service_death_leave_categories		create,update	1,2	yes	no	hr_session.php,config.php,absence_notification_service_upload_file.php,empty.php,absence_notification_service_form_get_enddate.php	yes	review	outbound-linked	unknown	ajax; file handling/ref
absence_notification_service_form_get_enddate.php	root	absence_notification_service_form_get_enddate		absence notification service form get enddate	authenticated/unknown			absence_notification_service_death_leave_categories				no	no	hr_session.php,config.php	yes	review	outbound-linked	unknown	ajax
absence_notification_service_notice.php	root	absence_notification_service_notice		absence notification service notice	authenticated/unknown		branch	absence_notification_service,absence_notification_service_death_leave_categories,absence_notification_service_send_to,absence_notification_service_types,branches,companies_groups,html,ra_users		send		yes	yes	hr_session.php,autoload.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,index.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
absence_notification_service_pdf.php	root	absence_notification_service_pdf		absence notification service pdf	authenticated/unknown		branch	absence_notification_service,absence_notification_service_death_leave_categories,absence_notification_service_send_to,absence_notification_service_types,branches,companies_groups,html,ra_users		send		yes	yes	hr_session.php,autoload.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,index.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
absence_notification_service_reciever.php	root	absence_notification_service_reciever		absence notification service reciever	authenticated/unknown		branch	absence_notification_service,absence_notification_service_send_to,companies_groups		send		no	no	hr_session.php,config.php,functions.php,yakeen_v1.class.php	yes	review	outbound-linked	unknown	ajax
absence_notification_service_scheduling.php	root	absence_notification_service_scheduling		absence notification service scheduling	authenticated/unknown		branch	absence_notification_service,absence_notification_service_memo,branches,companies_groups,html,memo_send_to,memo_types,ra_users		update,send		yes	yes	hr_session.php,autoload.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,index.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
absence_notification_service_send_action.php	root	absence_notification_service_send_action		absence notification service send action	authenticated/unknown		branch	ra_users		create		no	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php	yes	no	outbound-linked	unknown	session/header guard; ajax
absence_notification_service_send_notice.php	root	absence_notification_service_send_notice		absence notification service send notice	authenticated/unknown		branch	absence_notification_service,absence_notification_service_death_leave_categories,absence_notification_service_send_to,absence_notification_service_types,branches,companies_groups,html,ra_users		send		yes	yes	hr_session.php,autoload.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,index.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
absence_notification_service_timeline.php	root	absence_notification_service_timeline		absence notification service timeline	authenticated/unknown		branch	branches,medical_cases,medical_cases_actions,medical_cases_statement_request,medical_cases_status,ra_users		reply	9,14,4	no	no	header.inc.php,birth_notification.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; ajax
absence_notification_service_upload_file.php	root	absence_notification_service_upload_file		absence notification service upload file	authenticated/unknown							no	no		no	review	unresolved	unknown	
absence_notification_service_v.php	root	absence_notification_service_v	HH-Absence Notification Service	absence notification service v	authenticated/unknown		branch	absence_notification_service,absence_notification_service_action_type,absence_notification_service_death_leave_categories,absence_notification_service_memo,absence_notification_service_send_to,absence_notification_service_types,ra_users	absence_notification_service_v.php?t=<?php echo hh_h($tokenParam);?>	create,update,send	4	yes	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,sms_class.php,Shortener.class.php,form_token.php,absence_notification_service_v_result.php,absence_notification_service_send_notice.php,absence_notification_service_action_done.php,absence_notification_service_scheduling.php,absence_notification_service_v.php,absence_notification_service_send_action.php,sendsoundajax.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; file handling/ref
absence_notification_service_v_result.php	root	absence_notification_service_v_result	HH-Absence Notification Service	absence notification service v result	authenticated/unknown							yes	no	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php	no	review	outbound-linked	unknown	file handling/ref
absher.php	root	absher		absher	authenticated/unknown							no	yes		no	review	unresolved	unknown	print/pdf
accept_referral_pdf.php	root	accept_referral_pdf		accept referral pdf	authenticated/unknown		company,branch	accept_referral,booking_period,branches,companies_groups,forms_contacts,html,nationality,ra_users,room_type		reply		yes	yes	autoload.php,hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,index.php,accept_referral_pdf.php,barcode.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
accept_referral_pdfBK.php	root	accept_referral_pdfBK		accept referral pdfBK	authenticated/unknown		company,branch	accept_referral,booking_period,bottom,branches,companies_groups,data,forms_contacts,html,nationality,ra_users,room_type		update,reply		yes	yes	hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,index.php,complaints_pdf.php,accept_referral_pdf.php,tcpdf_include.php,tcpdf_config_alt.php,tcpdf.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
add-event.php	root	add-event		add event	authenticated/unknown			tbl_events		create		no	no	hr_session.php,config.php,functions.php	no	review	outbound-linked	unknown	
add_shift_schedule.php	root	add_shift_schedule		add shift schedule	authenticated/unknown			shift_schedule		create		no	no	hr_session.php,config.php,functions.php,login.php	no	review	outbound-linked	unknown	
admin/ rep2_not_signing_pledge_to_pay_reasons.php	admin	 rep2_not_signing_pledge_to_pay_reasons		 rep2 not signing pledge to pay reasons	administrator		branch	country,functin,if	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,rep2_not_signing_pledge_to_pay_reasons.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
admin/ rep3_payer_name_type.php	admin	 rep3_payer_name_type		 rep3 payer name type	administrator		branch	country,functin,if	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
admin/ rep5_canceling_transferring_reasons.php	admin	 rep5_canceling_transferring_reasons		 rep5 canceling transferring reasons	administrator		branch	country,functin,if,rep5_canceling_transferring_reasons	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
admin/accept_referral.php	admin	accept_referral		accept referral	administrator		branch	accept_referral,country,functin,if	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,accept_referral.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
admin/accept_referral_pdf.php	admin	accept_referral_pdf		accept referral pdf	administrator		company,branch	accept_referral,booking_period,bottom,branches,companies_groups,data,html,nationality,ra_users,room_type		update,reply		yes	yes	hr_session.php,config.php,functions.php,multiLanguage.php,common.php,MyQuery.php,login.php,logout.php,index.php,complaints_pdf.php,accept_referral_pdf.php,tcpdf_include.php,tcpdf_config_alt.php,tcpdf.php	yes	no	outbound-linked	unknown	session/header guard; ajax; print/pdf; file handling/ref
admin/access_roles.php	admin	access_roles		access roles	administrator							no	no	header.inc.php,footer.inc.php	no	no	outbound-linked	unknown	session/header guard
admin/action_taken.php	admin	action_taken		action taken	administrator		branch	action_taken,branches,functin,helper,if	<?php echo $pagename; ?>	create,update,delete,send	4	no	yes	header.inc.php,action_taken.php,city_grap.php,sendsoundajax.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/add_user_groups.php	admin	add_user_groups		add user groups	administrator		branch	here,user_groups_permission	add_user_groups.php	update,delete		no	no	header.inc.php,user_groups.php,add_user_groups.php,footer.inc.php,user_groups_permissins.php	no	review	menu	unknown	session/header guard; form
admin/adm_branches.php	admin	adm_branches		adm branches	administrator		branch	client,client_package_term,client_sub,client_sub_demand,client_sub_record,clienttype,package,package_details,user_client	adm_branches.php	create,update,delete,send		no	yes	header.inc.php,get_email.php,get_name.php,get_mobile.php,get_username.php,adm_branches.php,login.php,contactus.php,user_subscribe_details.php,sms_send_one.php,send_mail.php,client_del.php,change_client_pass.php,update_client_info.php,footer.inc.php	no	no	outbound-linked	unknown	session/header guard; form; print/pdf
admin/adm_brands.php	admin	adm_brands	اصناف البضاعة عدد الاصناف :	adm brands	administrator			city,functin,if,the	adm_brands.php	update,delete		yes	no	header.inc.php,inc_brands.php,adm_brands.php,footer.inc.php	no	no	menu	unknown	session/header guard; form; file handling/ref
admin/adm_country.php	admin	adm_country	:	adm country	administrator			city,country,functin,the	adm_country.php	create,update,delete		no	yes	header.inc.php,adm_country.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/adm_reg_branch.php	admin	adm_reg_branch		adm reg branch	administrator		branch	branches,country,functin,if	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,adm_reg_branch.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/adm_suppliers.php	admin	adm_suppliers	الموردون عدد الموردون :	adm suppliers	administrator			city,functin,if,the	adm_suppliers.php	update,delete		no	no	header.inc.php,inc_suppliers.php,adm_suppliers.php,footer.inc.php	no	no	outbound-linked	unknown	session/header guard; form
admin/adm_user_branch.php	admin	adm_user_branch		adm user branch	administrator		branch	branch_users,branches,country,functin,helper,if,password,username	<?php echo $pagename; ?>	create,update,delete,send	4	yes	yes	header.inc.php,adm_user_branch.php,city_grap.php,sendsoundajax.php,tbl_content_footer.php,footer.inc.php,usernamecheck.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
admin/adm_user_groups.php	admin	adm_user_groups		adm user groups	administrator			country,functin,if,user_groups_permission	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,adm_user_groups.php,user_groups_permissins.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/admission_nationality.php	admin	admission_nationality		admission nationality	administrator			admission_nationality,functin,if	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,admission_nationality.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/admission_rooms.php	admin	admission_rooms		admission rooms	administrator			admission_rooms,admission_status,functin,helper,if	<?php echo $pagename; ?>	create,update,delete,send	1,4	no	yes	header.inc.php,admission_rooms.php,city_grap.php,sendsoundajax.php,footer.inc.php	yes	review	menu	unknown	session/header guard; form; ajax; print/pdf
admin/admission_service_price.php	admin	admission_service_price		admission service price	administrator			admission_service_price,admission_status,functin,helper,if	trainee.php,<?php echo $pagename; ?>	create,update,delete,send	2,4,1	yes	yes	header.inc.php,SimpleXLSX.php,admission_service_price.php,trainee.php,city_grap.php,sendsoundajax.php,footer.inc.php	yes	review	menu	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
admin/admission_status.php	admin	admission_status		admission status	administrator			admission_status,functin,if	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,admission_status.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/advance_request.php	admin	advance_request	طلب سلفة	advance request	administrator		branch	advance_request,advance_request_hr_reply,city,clients,functin,if,jobs_names	<?php echo $pagename; ?>	create,update,delete,approve,send,reply		no	yes	header.inc.php,advance_request.php,footer.inc.php,advance_request_print.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf
admin/advance_request_print.php	admin	advance_request_print		advance request print	administrator		branch	advance_request,advance_request_hr_reply,branches_departments,clients,jobs_names,ra_users,vacancies		update,approve,send,reply	2	no	yes	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,Arabic.php,login.php,permissions.class.php,advance_request.php	yes	review	outbound-linked	unknown	ajax; print/pdf
admin/app-calendar.php	admin	app-calendar		app calendar	administrator							no	no	header.inc.php	no	no	outbound-linked	unknown	session/header guard
admin/app-email.php	admin	app-email	Email Application - Frest - Bootstrap HTML admin template	app email	administrator		branch	far,next	#,javascript:void(0);	update,delete,approve,send,reply		yes	yes	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,login.php,permissions.class.php,index.php,employees.php,companies_groups.php,adm_reg_branch.php,branches_departments.php,adm_user_branch.php,notice_type.php,users.php,adm_user_groups.php	no	review	outbound-linked	unknown	form; print/pdf; file handling/ref
admin/app-todo.php	admin	app-todo	HH	app todo	administrator		branch			update,delete,approve		yes	yes	hr_session.php,config.php,functions.php,validationForm.php,multiLanguage.php,user.php,paginator.class.php,permissions.link.php,common.php,MyQuery.php,clientContract.php,clientVacations.php,login.php,permissions.class.php,app-email.php,app-todo.php,app-calendar.php,change_pass.php,logout.php,index.php,employees.php,companies_groups.php,adm_reg_branch.php,branches_departments.php,adm_user_branch.php,notice_type.php,users.php,adm_user_groups.php	no	review	outbound-linked	unknown	print/pdf; file handling/ref
admin/approval_status.php	admin	approval_status		approval status	administrator			approval_status,country,functin,if	<?php echo $pagename; ?>	create,update,delete,approve		no	yes	header.inc.php,approval_status.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/approvals_service.php	admin	approvals_service		approvals service	administrator			approvals_service,country,functin,if	<?php echo $pagename; ?>	create,update,delete,approve		no	yes	header.inc.php,approvals_service.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/approving_bodies.php	admin	approving_bodies		approving bodies	administrator			approving_bodies,country,functin,if	<?php echo $pagename; ?>	create,update,delete,approve		no	yes	header.inc.php,approving_bodies.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/articles.php	admin	articles		articles	administrator			ad_attachment,articles,functin,given,here,pages,pages_class,the	./articles.php	create,update,delete,send,reply		yes	yes	header.inc.php,database.php,articles.php,pageClasses.php,photo.php,footer.inc.php	yes	no	outbound-linked	unknown	session/header guard; form; ajax; print/pdf; file handling/ref
admin/birth_notification_id_type.php	admin	birth_notification_id_type		birth notification id type	administrator			birth_notification_id_type,functin,if	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,birth_notification_id_type.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/birth_notification_obstetrics.php	admin	birth_notification_obstetrics		birth notification obstetrics	administrator			birth_notification_obstetrics,functin,if	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,birth_notification_obstetrics.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/booking_period.php	admin	booking_period		booking period	administrator		branch	booking_period,country,functin,if	<?php echo $pagename; ?>	create,update,delete		no	yes	header.inc.php,booking_period.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/branches_area.php	admin	branches_area		branches area	administrator		branch	branches,branches_area,functin,helper,if	<?php echo $pagename; ?>	create,update,delete,send	4	no	yes	header.inc.php,branches_area.php,city_grap.php,sendsoundajax.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/branches_departments.php	admin	branches_departments		branches departments	administrator		branch	branches,branches_departments,functin,helper,if	<?php echo $pagename; ?>	create,update,delete,send	4	no	yes	header.inc.php,branches_departments.php,city_grap.php,sendsoundajax.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/branches_needs.php	admin	branches_needs		branches needs	administrator		branch	branches,branches_needs,functin,helper,if	<?php echo $pagename; ?>	create,update,delete,send	4	no	yes	header.inc.php,branches_needs.php,city_grap.php,sendsoundajax.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
admin/branches_service_type.php	admin	branches_service_type		branches service type	administrator		branch	branches,branches_service_type,functin,helper,if	<?php echo $pagename; ?>	create,update,delete,send	4	no	yes	header.inc.php,branches_service_type.php,city_grap.php,sendsoundajax.php,footer.inc.php	yes	no	menu	unknown	session/header guard; form; ajax; print/pdf
